feature,model,method,sens_pct,sub_method,dir_pct,dir_abs,var_pct
state_ur_mom_delta,LSTM,IntegratedGradients,0.3186906,FOODS,-9.27527,-5.99e-07,0.34880996
state_gas_wow_delta,LSTM,IntegratedGradients,0.15340355,FOODS,-2.8491015,-1.84e-07,0.12287566
state_cpi_mom_delta,LSTM,IntegratedGradients,0.09603365,FOODS,-2.741727,-1.77e-07,0.028966207
event_name_2,LSTM,IntegratedGradients,0.0,FOODS,0.0,0.0,0.0
event_type_2,LSTM,IntegratedGradients,0.0,FOODS,0.0,0.0,0.0
day_of_week,LSTM,IntegratedGradients,28.857697,HOBBIES,-3.3583033,-1.01e-07,14.981929
state_ur,LSTM,IntegratedGradients,22.643112,HOBBIES,5.8758335,1.78e-07,28.161156
state_cpi,LSTM,IntegratedGradients,9.8916025,HOBBIES,-11.127168,-3.36e-07,9.53278
consumer_sentiment,LSTM,IntegratedGradients,7.202644,HOBBIES,13.656213,4.13e-07,11.536392
state_gas_price,LSTM,IntegratedGradients,6.536649,HOBBIES,-13.560365,-4.1e-07,7.81113
item_category,LSTM,IntegratedGradients,6.369759,HOBBIES,-1.8580377,-5.61e-08,7.281792
month,LSTM,IntegratedGradients,5.98803,HOBBIES,-10.912839,-3.3e-07,5.369192
state_snap,LSTM,IntegratedGradients,4.253883,HOBBIES,94.10454,2.84e-06,2.168375
day_of_month,LSTM,IntegratedGradients,3.9479766,HOBBIES,61.286163,1.85e-06,3.5490143
sell_price,LSTM,IntegratedGradients,1.455676,HOBBIES,-2.489815,-7.52e-08,1.2084141
event_type_1,LSTM,IntegratedGradients,1.3188794,HOBBIES,5.7307477,1.73e-07,1.2023971
state_ur_mom_delta,LSTM,IntegratedGradients,0.5785735,HOBBIES,-26.198233,-7.91e-07,4.864833
event_name_1,LSTM,IntegratedGradients,0.5640439,HOBBIES,3.3404403,1.01e-07,0.7203267
state_gas_wow_delta,LSTM,IntegratedGradients,0.21417215,HOBBIES,-6.5472374,-1.98e-07,0.16720527
state_cpi_mom_delta,LSTM,IntegratedGradients,0.17729633,HOBBIES,-7.9419255,-2.4e-07,1.4450611
event_name_2,LSTM,IntegratedGradients,0.0,HOBBIES,0.0,0.0,0.0
event_type_2,LSTM,IntegratedGradients,0.0,HOBBIES,0.0,0.0,0.0
