feature,method,sens_pct,sub_method,dir_pct,dir_abs,var_pct
state_snap,IntegratedGradients,3.5925646,FOODS,48.213882,3.11E-06,1.68868
day_of_month,IntegratedGradients,2.8610532,FOODS,29.865126,1.93E-06,2.4811647
event_type_1,IntegratedGradients,0.94207144,FOODS,2.9124255,1.88E-07,0.93439734
sell_price,IntegratedGradients,0.6611773,FOODS,7.4100285,4.79E-07,0.43811053
event_name_1,IntegratedGradients,0.44419616,FOODS,1.5217979,9.83E-08,0.5218056
state_ur_mom_delta,IntegratedGradients,0.3186906,FOODS,-9.27527,-5.99E-07,0.34880996
state_gas_wow_delta,IntegratedGradients,0.15340355,FOODS,-2.8491015,-1.84E-07,0.12287566
state_cpi_mom_delta,IntegratedGradients,0.09603365,FOODS,-2.741727,-1.77E-07,0.028966207
event_name_2,IntegratedGradients,0,FOODS,0,0,0
event_type_2,IntegratedGradients,0,FOODS,0,0,0
day_of_week,IntegratedGradients,28.857697,HOBBIES,-3.3583033,-1.01E-07,14.981929
state_ur,IntegratedGradients,22.643112,HOBBIES,5.8758335,1.78E-07,28.161156
state_cpi,IntegratedGradients,9.8916025,HOBBIES,-11.127168,-3.36E-07,9.53278
consumer_sentiment,IntegratedGradients,7.202644,HOBBIES,13.656213,4.13E-07,11.536392
state_gas_price,IntegratedGradients,6.536649,HOBBIES,-13.560365,-4.10E-07,7.81113
item_category,IntegratedGradients,6.369759,HOBBIES,-1.8580377,-5.61E-08,7.281792
month,IntegratedGradients,5.98803,HOBBIES,-10.912839,-3.30E-07,5.369192
state_snap,IntegratedGradients,4.253883,HOBBIES,94.10454,2.84E-06,2.168375
day_of_month,IntegratedGradients,3.9479766,HOBBIES,61.286163,1.85E-06,3.5490143
sell_price,IntegratedGradients,1.455676,HOBBIES,-2.489815,-7.52E-08,1.2084141
event_type_1,IntegratedGradients,1.3188794,HOBBIES,5.7307477,1.73E-07,1.2023971
state_ur_mom_delta,IntegratedGradients,0.5785735,HOBBIES,-26.198233,-7.91E-07,4.864833
event_name_1,IntegratedGradients,0.5640439,HOBBIES,3.3404403,1.01E-07,0.7203267
state_gas_wow_delta,IntegratedGradients,0.21417215,HOBBIES,-6.5472374,-1.98E-07,0.16720527
state_cpi_mom_delta,IntegratedGradients,0.17729633,HOBBIES,-7.9419255,-2.40E-07,1.4450611
event_name_2,IntegratedGradients,0,HOBBIES,0,0,0
event_type_2,IntegratedGradients,0,HOBBIES,0,0,0
item_category,IntegratedGradients,37.97879,HOUSEHOLD,46.284058,2.34E-06,42.26875
day_of_week,IntegratedGradients,19.496891,HOUSEHOLD,-1.9955307,-1.01E-07,9.673199
state_ur,IntegratedGradients,14.941104,HOUSEHOLD,2.3952956,1.21E-07,18.6095
state_cpi,IntegratedGradients,6.568518,HOUSEHOLD,-6.3794875,-3.22E-07,6.4636035
consumer_sentiment,IntegratedGradients,4.686762,HOUSEHOLD,7.7173414,3.89E-07,7.5732017
state_gas_price,IntegratedGradients,4.534874,HOUSEHOLD,-7.9663715,-4.02E-07,5.3039765
month,IntegratedGradients,4.0348625,HOUSEHOLD,-6.7545457,-3.41E-07,3.6465435
day_of_month,IntegratedGradients,2.7206213,HOUSEHOLD,35.70748,1.80E-06,2.5163481
state_snap,IntegratedGradients,2.4418232,HOUSEHOLD,51.94772,2.62E-06,1.3618188
event_type_1,IntegratedGradients,0.9093167,HOUSEHOLD,3.1042166,1.57E-07,0.794027
sell_price,IntegratedGradients,0.7296499,HOUSEHOLD,-6.6195803,-3.34E-07,0.64832693
event_name_1,IntegratedGradients,0.4305428,HOUSEHOLD,2.0246425,1.02E-07,0.6676905
state_ur_mom_delta,IntegratedGradients,0.28831765,HOUSEHOLD,-11.719586,-5.91E-07,0.3163224
state_gas_wow_delta,IntegratedGradients,0.14714298,HOUSEHOLD,-4.1844187,-2.11E-07,0.13132384
state_cpi_mom_delta,IntegratedGradients,0.0907868,HOUSEHOLD,-3.561224,-1.80E-07,0.025371736
event_name_2,IntegratedGradients,0,HOUSEHOLD,0,0,0
