feature,method,sub_method,sens_pct,dir_pct,dir_abs,var_pct
event_type_2,GradientSHAP,baseNoCats,0.0,0.0,0.0,0.0
day_of_week,GradientSHAP,FOODS,14.354435,135.13268,-4.5869757e-07,14.813216
event_name_1,GradientSHAP,FOODS,12.448068,13.729513,-4.6603784e-08,17.32503
event_type_1,GradientSHAP,FOODS,12.435679,-21.30203,7.230812e-08,15.545167
day_of_month,GradientSHAP,FOODS,12.227448,33.744415,-1.1454284e-07,6.7523794
state_snap,GradientSHAP,FOODS,9.326946,5.28648,-1.7944553e-08,7.702058
month,GradientSHAP,FOODS,8.339305,10.834874,-3.6778154e-08,7.1053677
state_cpi,GradientSHAP,FOODS,7.9115205,-40.599056,1.378104e-07,5.2923164
state_ur,GradientSHAP,FOODS,7.787341,-48.770477,1.6554768e-07,10.886351
consumer_sentiment,GradientSHAP,FOODS,6.001962,94.662766,-3.2132556e-07,7.9802403
state_gas_price,GradientSHAP,FOODS,4.952777,-33.57531,1.1396883e-07,3.3142142
sell_price,GradientSHAP,FOODS,4.214039,-49.14433,1.6681668e-07,3.2526407
state_gas_wow_delta,GradientSHAP,FOODS,0.00048383095,0.0004796903,-1.6282721e-12,0.031023083
state_ur_mom_delta,GradientSHAP,FOODS,0.0,-0.0,0.0,0.0
state_cpi_mom_delta,GradientSHAP,FOODS,0.0,-0.0,0.0,0.0
event_type_2,GradientSHAP,FOODS,0.0,-0.0,0.0,0.0
event_name_2,GradientSHAP,FOODS,0.0,-0.0,0.0,0.0
item_category,GradientSHAP,FOODS,0.0,-0.0,0.0,0.0
day_of_week,GradientSHAP,HOBBIES,13.945399,-241.44397,-2.1937784e-07,14.747856
event_name_1,GradientSHAP,HOBBIES,11.540101,-44.11043,-4.0079076e-08,16.029953
event_type_1,GradientSHAP,HOBBIES,11.396107,32.0323,2.9104791e-08,14.416525
day_of_month,GradientSHAP,HOBBIES,11.269894,33.75359,3.066877e-08,6.3134236
state_snap,GradientSHAP,HOBBIES,8.769582,-1.0480049,-9.522253e-10,7.365546
sell_price,GradientSHAP,HOBBIES,8.7042885,72.796005,6.614301e-08,5.644416
month,GradientSHAP,HOBBIES,8.013519,213.63959,1.9411456e-07,6.8988843
state_ur,GradientSHAP,HOBBIES,7.6453557,-286.9491,-2.6072414e-07,10.503706
state_cpi,GradientSHAP,HOBBIES,7.51025,105.798065,9.612893e-08,5.0316257
consumer_sentiment,GradientSHAP,HOBBIES,6.4630604,197.9597,1.798677e-07,7.701292
state_gas_price,GradientSHAP,HOBBIES,4.5777903,4.1224446,3.7456847e-09,3.1491838
state_ur_mom_delta,GradientSHAP,HOBBIES,0.14118007,11.298825,1.02661994e-08,1.5101137
state_cpi_mom_delta,GradientSHAP,HOBBIES,0.022959195,2.1165872,1.9231474e-09,0.65369934
state_gas_wow_delta,GradientSHAP,HOBBIES,0.0005188469,0.034409266,3.1264522e-11,0.03377824
event_type_2,GradientSHAP,HOBBIES,0.0,0.0,0.0,0.0
event_name_2,GradientSHAP,HOBBIES,0.0,0.0,0.0,0.0
item_category,GradientSHAP,HOBBIES,0.0,0.0,0.0,0.0
day_of_week,GradientSHAP,HOUSEHOLD,14.187996,118.14851,7.626817e-08,15.445581
event_name_1,GradientSHAP,HOUSEHOLD,12.069641,-472.51578,-3.0502213e-07,16.53288
event_type_1,GradientSHAP,HOUSEHOLD,11.840049,327.27698,2.1126644e-07,14.90069
day_of_month,GradientSHAP,HOUSEHOLD,11.726961,47.348404,3.0564717e-08,6.4960876
state_snap,GradientSHAP,HOUSEHOLD,9.018149,26.916906,1.7375616e-08,7.52921
month,GradientSHAP,HOUSEHOLD,8.183508,80.96536,5.2265403e-08,7.099627
state_ur,GradientSHAP,HOUSEHOLD,7.836106,161.97409,1.045588e-07,11.052336
state_cpi,GradientSHAP,HOUSEHOLD,7.291306,-127.51342,-8.231348e-08,4.9798975
consumer_sentiment,GradientSHAP,HOUSEHOLD,6.5529,196.62108,1.269244e-07,7.965884
sell_price,GradientSHAP,HOUSEHOLD,6.437859,-270.0014,-1.7429345e-07,4.604356
state_gas_price,GradientSHAP,HOUSEHOLD,4.850855,10.968393,7.0804043e-09,3.3460538
